,ticker,date,time,title,compound
145,GOOG,2021-02-18,06:50PM  ,Canada vows to be next country to go after Facebook to pay for news,-0.1027
146,GOOG,2021-02-18,05:47PM  ,Google Revamps AI Teams in Wake of Researchers Departure,0.0
147,GOOG,2021-02-18,05:39PM  ,Congress gets ready to grill Big Tech with a series of hearings starting next week,0.3612
148,GOOG,2021-02-18,05:30PM  ,"Zuckerberg, Pichai, Dorsey Due Back for New Grilling in Congress",0.0
149,GOOG,2021-02-18,05:24PM  ,Australia to Hold Talks With Facebooks Zuckerberg After Block,-0.4404
150,GOOG,2021-02-18,05:17PM  ,"Dow Jones Futures: Stress Test Your Portfolio; Apple, Nio Flash Sell Signals; Roku, Trade Desk, Applied Materials Are Earnings Movers",-0.4215
151,GOOG,2021-02-18,05:16PM  ,"UPDATE 1-Internet groups, U.S. Chamber sue Maryland over digital advertising tax",0.0
152,GOOG,2021-02-18,04:34PM  ,"Zuckerberg, Pichai, Dorsey to testify at House online disinformation hearing",0.0
153,GOOG,2021-02-18,04:29PM  ,"Facebook, Google, Twitter CEOs will testify about misinformation before U.S. Congress",-0.3182
154,GOOG,2021-02-18,04:13PM  ,"Internet groups, U.S. Chamber sue Maryland over digital advertising tax",0.0
155,GOOG,2021-02-18,04:04PM  ,"Internet groups, U.S. Chamber sue Maryland over digital advertising tax",0.0
156,GOOG,2021-02-18,02:47PM  ,"J.B. Hunt Partners With Google On Technology, Product Development",0.0
157,GOOG,2021-02-18,01:35PM  ,"6 Companies Owned by Alphabet (GOOGL), Google's Parent Company",0.0
158,GOOG,2021-02-18,01:11PM  ,Google adds Apple's TV app to latest Chromecast device,0.0
159,GOOG,2021-02-18,12:16PM  ,Facebook shares dip as Wall Street ponders Australia news fallout,0.296
160,GOOG,2021-02-18,12:00PM  ,Apple TV App Is Now Available on Chromecast With Google TV,0.0
161,GOOG,2021-02-18,10:01AM  ,Bill Gates: Facebook banning Trump 'forever' would not be 'that good',-0.3412
162,GOOG,2021-02-18,09:31AM  ,EU says copyright laws make situation different from Australia,0.0
163,GOOG,2021-02-18,07:45AM  ,Better Buy: IBM vs. Alphabet,0.4404
164,GOOG,2021-02-18,05:51AM  ,3 Markedly Better Stocks to Buy Than Sundial or AMC,0.4404
165,GOOG,2021-02-18,05:48AM  ,"UPDATE 4-Time to get tough with 'bully' Facebook, UK lawmaker and publishers say",-0.128
166,GOOG,2021-02-18,03:53AM  ,"Under Pressure From Australia, Facebook and Google Make Opposite Moves",-0.296
167,GOOG,2021-02-18,03:30AM  ,"BigTech Will Not 'Run' The World, Australian PM Hits Back At Facebook After News-Sharing Ban",-0.5574
168,GOOG,2021-02-18,03:11AM  ,Facebook Blocks News in Australia in Warning for the World,-0.5106
169,GOOG,2021-02-18,02:03AM  ,Facebook Turns Off News in Australia Amid Government Dispute,-0.4019
170,GOOG,2021-02-18,01:44AM  ,"Facebook Blocks Charities, Government Pages in Australia News Spat",0.3182
171,GOOG,2021-02-18,01:41AM  ,EXPLAINER-Australia's news revenue-sharing law behind battle with Big Tech,-0.3818
172,GOOG,2021-02-17,08:42PM  ,Facebook 'unfriends' Australia: news pages go dark in test for global publishing,0.0
173,GOOG,2021-02-17,08:12PM  ,Facebook Cuts Off News in Australia in Fight Over Payments,-0.5859
174,GOOG,2021-02-17,07:44PM  ,Facebook unfriends Australia: news sites go dark in content row,0.0
175,GOOG,2021-02-17,06:30PM  ,TikTok Rival 'YouTube Shorts' To Rollout In US After Strong Reception In India,0.5106
176,GOOG,2021-02-17,05:22PM  ,"Google strikes deals with Australian news publishers, while Facebook cuts off sharing",-0.2263
177,GOOG,2021-02-17,04:48PM  ,News Corp. and Google Settle Long Pay Fight With Global News Pact,-0.4588
178,GOOG,2021-02-17,04:43PM  ,Google to pay Murdoch's News Corporation for stories,-0.1027
179,GOOG,2021-02-17,03:41PM  ,Facebook says it will stop people viewing or sharing news in Australia,0.1531
180,GOOG,2021-02-17,03:01PM  ,"Facebook Puts New Restrictions On Australian Publishers, Readers",0.0
181,GOOG,2021-02-17,03:00PM  ,The COVID-19 crisis has been extraordinary difficult for women: The Forem CIO,-0.765
182,GOOG,2021-02-17,02:26PM  ,"Rupert Murdoch's News Corp., Google reach deal on payments for journalism",0.0258
183,GOOG,2021-02-17,02:14PM  ,Coronavirus update: Biden administration increases vaccine doses to states; UK approves first human challenge trial,0.4588
184,GOOG,2021-02-17,01:57PM  ,Facebook Blocks Sharing of News Content in Australia,0.2263
185,GOOG,2021-02-17,12:11PM  ,News Corp Strikes 3-Year Deal To Join Google's News Showcase Platform,-0.0772
186,GOOG,2021-02-17,12:00PM  ,3 Tech Stocks You Can Buy and Hold for the Next Decade,0.0
187,GOOG,2021-02-17,11:27AM  ,Google Is Launching TikTok Competitor YouTube Shorts,0.0
188,GOOG,2021-02-17,10:59AM  ,Google to Pay News Corp for Content in Three-year Deal,-0.1027
189,GOOG,2021-02-17,10:58AM  ,Epic Games Attacks Apple in Antitrust Complaint to EU,-0.6249
190,GOOG,2021-02-17,09:52AM  ,News Corp Says Google Will Make Significant Payments for News Under Global Three-Year Deal,0.2023
191,GOOG,2021-02-17,09:42AM  ,News Corp signs news partnership deal with Google,0.0
192,GOOG,2021-02-17,09:40AM  ,UPDATE 3-News Corp signs news partnership deal with Google,0.0
193,GOOG,2021-02-17,09:32AM  ,News Corp. to provide Google News Showcase with premium content as part of 3-year news partnership,0.0
194,GOOG,2021-02-17,09:17AM  ,News Corp signs news partnership deal with Google,0.0
195,GOOG,2021-02-17,09:00AM  ,YouTubes Quick-Video Answer to TikTok Coming to U.S. in March,0.0
196,GOOG,2021-02-17,08:00AM  ,There's Still Time To Own 7 Stocks Analysts Are Upgrading Fast,0.0
197,GOOG,2021-02-17,07:11AM  ,15 Most Powerful and Influential Companies,0.7397
198,GOOG,2021-02-17,06:07AM  ,Google in Accord to Pay News Corp. for Content,-0.1027
199,GOOG,2021-02-17,06:02AM  ,Google to invest $75 million in coronavirus-hit small businesses,0.0
200,FB,2021-02-21,07:10AM  ,Could Pinterest Become the Next Facebook?,0.0
201,FB,2021-02-21,02:41AM  ,"With EPS Growth And More, Facebook (NASDAQ:FB) Is Interesting",0.6486
202,FB,2021-02-20,10:04PM  ,Facebook takes down main page of Myanmar military,0.0
203,FB,2021-02-20,09:50PM  ,Australia won't advertise COVID-19 vaccine on Facebook but vows publicity,0.0
204,FB,2021-02-20,09:46PM  ,Australia won't advertise COVID-19 vaccine on Facebook but vows publicity,0.0
205,FB,2021-02-20,07:00PM  ,Australias fight with Big Tech previews other battles to come,-0.6369
206,FB,2021-02-20,06:06PM  ,These Are The 5 Best Stocks To Buy And Watch Now,0.6369
207,FB,2021-02-20,12:01PM  ,15 Best Stocks To Buy Now For Beginner Investors,0.6369
208,FB,2021-02-20,12:00PM  ,Why Facebook Stock Is Headed Higher,0.0
209,FB,2021-02-20,08:35AM  ,Here's how tech is taking over the news media,0.0
210,FB,2021-02-19,11:20PM  ,"UPDATE 1-Facebook has 'tentatively friended' us again, Australia says",0.4019
211,FB,2021-02-19,09:30PM  ,"Facebook has 'tentatively friended' us again, Australia says",0.4019
212,FB,2021-02-19,08:30PM  ,"Facebook has 'tentatively friended' us again, Australia says",0.4019
213,FB,2021-02-19,08:21PM  ,"Facebook has 'tentatively friended' us again, Australia says",0.4019
214,FB,2021-02-19,06:28PM  ,"Facebook, Twitter, United Airlines and other large companies pledge to boost numbers of diverse leaders",0.6705
215,FB,2021-02-19,04:17PM  ,Pinterest Is Unique Among The Social Media Giants,0.0
216,FB,2021-02-19,03:15PM  ,U.S. sees Facebook dispute as a matter between companies and Australia -State Dept,-0.3818
217,FB,2021-02-19,01:28PM  ,"Game makers rely on Unity Software, which is a reason you should consider owning its shares",0.296
218,FB,2021-02-19,11:53AM  ,Rokus Surprise Profit Is Raising Hope About the Stock,0.7845
219,FB,2021-02-19,10:25AM  ,Apple (AAPL) Could Sell Off to $110,0.0
220,FB,2021-02-19,10:05AM  ,This Partnership With Amazon Will Be Massive for BlackBerry Stock,0.1779
221,FB,2021-02-19,09:01AM  ,Facebook allowing Trump back would be terrible mistake: Laurence Tribe,-0.6705
222,FB,2021-02-19,09:01AM  ,WhatsApp Proceeds With Privacy Update Despite Retaliation: Reuters,0.0
